Ahr::Arnt	MA0006.1	cluster_81
Alx1	MA0854.1	cluster_21
ALX3	MA0634.1	cluster_3
Alx4	MA0853.1	cluster_21
Ar	MA0007.3	cluster_19
ARGFX	MA1463.1	cluster_3
Arid3a	MA0151.1	cluster_89
Arid3b	MA0601.1	cluster_3
Arid5a	MA0602.1	cluster_97
Arnt	MA0004.1	cluster_7
ARNT::HIF1A	MA0259.1	cluster_7
ARNT2	MA1464.1	cluster_7
Arntl	MA0603.1	cluster_7
Arx	MA0874.1	cluster_21
ASCL1	MA1100.2	cluster_8
ASCL1_var_2_	MA1631.1	cluster_8
Ascl2	MA0816.1	cluster_8
Atf1	MA0604.1	cluster_18
ATF2	MA1632.1	cluster_18
ATF3	MA0605.2	cluster_18
ATF4	MA0833.2	cluster_5
ATF6	MA1466.1	cluster_7
ATF7	MA0834.1	cluster_18
Atoh1	MA0461.2	cluster_8
ATOH1_var_2_	MA1467.1	cluster_8
ATOH7	MA1468.1	cluster_8
BACH1	MA1633.1	cluster_1
Bach1::Mafk	MA0591.1	cluster_1
BACH2	MA1101.2	cluster_1
BACH2_var_2_	MA1470.1	cluster_18
BARHL1	MA0877.2	cluster_3
BARHL2	MA0635.1	cluster_3
BARX1	MA0875.1	cluster_3
BARX2	MA1471.1	cluster_38
BATF	MA1634.1	cluster_1
BATF::JUN	MA0462.2	cluster_1
BATF3	MA0835.2	cluster_1
BCL6	MA0463.2	cluster_24
BCL6B	MA0731.1	cluster_24
Bhlha15	MA0607.1	cluster_8
BHLHA15_var_2_	MA1472.1	cluster_8
BHLHE22	MA0818.1	cluster_8
BHLHE22_var_2_	MA1635.1	cluster_8
BHLHE23	MA0817.1	cluster_8
BHLHE40	MA0464.2	cluster_7
BHLHE41	MA0636.1	cluster_7
BSX	MA0876.1	cluster_3
CDX1	MA0878.2	cluster_10
CDX2	MA0465.2	cluster_10
CDX4	MA1473.1	cluster_10
CEBPA	MA0102.4	cluster_5
CEBPB	MA0466.2	cluster_5
CEBPD	MA0836.2	cluster_5
CEBPE	MA0837.1	cluster_5
CEBPG	MA0838.1	cluster_5
CEBPG_var_2_	MA1636.1	cluster_5
CENPB	MA0637.1	cluster_47
CLOCK	MA0819.1	cluster_7
CREB1	MA0018.4	cluster_18
CREB3	MA0638.1	cluster_7
CREB3L1	MA0839.1	cluster_7
Creb3l2	MA0608.1	cluster_7
CREB3L4	MA1474.1	cluster_7
CREB3L4_var_2_	MA1475.1	cluster_18
Creb5	MA0840.1	cluster_18
CREM	MA0609.2	cluster_18
Crx	MA0467.1	cluster_28
CTCF	MA0139.1	cluster_83
CTCFL	MA1102.2	cluster_61
CUX1	MA0754.1	cluster_14
CUX2	MA0755.1	cluster_14
DBP	MA0639.1	cluster_5
Ddit3::Cebpa	MA0019.1	cluster_5
Dlx1	MA0879.1	cluster_3
Dlx2	MA0885.1	cluster_3
Dlx3	MA0880.1	cluster_3
Dlx4	MA0881.1	cluster_3
DLX5	MA1476.1	cluster_3
DLX6	MA0882.1	cluster_3
Dmbx1	MA0883.1	cluster_28
Dmrt1	MA1603.1	cluster_25
DMRT3	MA0610.1	cluster_40
DMRTA2	MA1478.1	cluster_40
DMRTC2	MA1479.1	cluster_40
DPRX	MA1480.1	cluster_28
DRGX	MA1481.1	cluster_3
Dux	MA0611.1	cluster_3
DUX4	MA0468.1	cluster_37
DUXA	MA0884.1	cluster_37
E2F1	MA0024.3	cluster_49
E2F2	MA0864.2	cluster_49
E2F3	MA0469.3	cluster_49
E2F4	MA0470.2	cluster_49
E2F6	MA0471.2	cluster_49
E2F7	MA0758.1	cluster_49
E2F8	MA0865.1	cluster_49
EBF1	MA0154.4	cluster_6
Ebf2	MA1604.1	cluster_6
EBF3	MA1637.1	cluster_6
EGR1	MA0162.4	cluster_34
EGR2	MA0472.2	cluster_34
EGR3	MA0732.1	cluster_34
EGR4	MA0733.1	cluster_34
EHF	MA0598.3	cluster_16
ELF1	MA0473.3	cluster_16
ELF2	MA1483.1	cluster_16
ELF3	MA0640.2	cluster_16
ELF4	MA0641.1	cluster_16
ELF5	MA0136.2	cluster_16
ELK1	MA0028.2	cluster_16
ELK3	MA0759.1	cluster_16
ELK4	MA0076.2	cluster_16
EMX1	MA0612.2	cluster_3
EMX2	MA0886.1	cluster_3
EN1	MA0027.2	cluster_3
EN2	MA0642.1	cluster_3
EOMES	MA0800.1	cluster_12
ERF	MA0760.1	cluster_16
ERG	MA0474.2	cluster_16
ESR1	MA0112.3	cluster_55
ESR2	MA0258.2	cluster_55
ESRRA	MA0592.3	cluster_46
ESRRB	MA0141.3	cluster_46
Esrrg	MA0643.1	cluster_46
ESX1	MA0644.1	cluster_3
ETS1	MA0098.3	cluster_16
ETS2	MA1484.1	cluster_16
ETV1	MA0761.2	cluster_16
ETV2	MA0762.1	cluster_16
ETV3	MA0763.1	cluster_16
ETV4	MA0764.2	cluster_16
ETV5	MA0765.2	cluster_16
ETV6	MA0645.1	cluster_16
EVX1	MA0887.1	cluster_3
EVX2	MA0888.1	cluster_3
EWSR1-FLI1	MA0149.1	cluster_80
FERD3L	MA1485.1	cluster_8
FEV	MA0156.2	cluster_16
FIGLA	MA0820.1	cluster_8
FLI1	MA0475.2	cluster_16
FOS	MA0476.1	cluster_1
FOS::JUN	MA0099.3	cluster_1
FOS::JUN_var_2_	MA1126.1	cluster_18
FOS::JUNB	MA1134.1	cluster_1
FOS::JUND	MA1141.1	cluster_1
FOSB::JUN	MA1127.1	cluster_18
FOSB::JUNB	MA1135.1	cluster_1
FOSB::JUNB_var_2_	MA1136.1	cluster_18
FOSL1	MA0477.2	cluster_1
FOSL1::JUN	MA1128.1	cluster_1
FOSL1::JUN_var_2_	MA1129.1	cluster_18
FOSL1::JUNB	MA1137.1	cluster_1
FOSL1::JUND	MA1142.1	cluster_1
FOSL1::JUND_var_2_	MA1143.1	cluster_18
FOSL2	MA0478.1	cluster_1
FOSL2::JUN	MA1130.1	cluster_1
FOSL2::JUN_var_2_	MA1131.1	cluster_18
FOSL2::JUNB	MA1138.1	cluster_1
FOSL2::JUNB_var_2_	MA1139.1	cluster_18
FOSL2::JUND	MA1144.1	cluster_1
FOSL2::JUND_var_2_	MA1145.1	cluster_18
FOXA1	MA0148.4	cluster_9
FOXA2	MA0047.3	cluster_9
FOXA3	MA1683.1	cluster_9
FOXB1	MA0845.1	cluster_9
FOXC1	MA0032.2	cluster_9
FOXC2	MA0846.1	cluster_9
FOXD1	MA0031.1	cluster_9
FOXD2	MA0847.2	cluster_9
Foxd3	MA0041.1	cluster_9
FOXE1	MA1487.1	cluster_9
Foxf1	MA1606.1	cluster_9
FOXF2	MA0030.1	cluster_9
FOXG1	MA0613.1	cluster_9
FOXH1	MA0479.1	cluster_28
FOXI1	MA0042.2	cluster_9
Foxj2	MA0614.1	cluster_9
Foxj3	MA0851.1	cluster_9
FOXK1	MA0852.2	cluster_9
FOXK2	MA1103.2	cluster_9
FOXL1	MA0033.2	cluster_9
Foxl2	MA1607.1	cluster_9
FOXN3	MA1489.1	cluster_9
Foxo1	MA0480.1	cluster_9
FOXO3	MA0157.2	cluster_9
FOXO4	MA0848.1	cluster_9
FOXO6	MA0849.1	cluster_9
FOXP1	MA0481.3	cluster_9
FOXP2	MA0593.1	cluster_9
FOXP3	MA0850.1	cluster_9
Foxq1	MA0040.1	cluster_9
GABPA	MA0062.3	cluster_16
GATA1	MA0035.4	cluster_48
GATA1::TAL1	MA0140.2	cluster_103
GATA2	MA0036.3	cluster_48
GATA3	MA0037.3	cluster_48
GATA4	MA0482.2	cluster_48
GATA5	MA0766.2	cluster_48
GATA6	MA1104.2	cluster_48
GBX1	MA0889.1	cluster_3
GBX2	MA0890.1	cluster_3
GCM1	MA0646.1	cluster_47
GCM2	MA0767.1	cluster_47
GFI1	MA0038.2	cluster_52
Gfi1b	MA0483.1	cluster_52
GLI2	MA0734.2	cluster_11
GLI3	MA1491.1	cluster_11
GLIS1	MA0735.1	cluster_11
GLIS2	MA0736.1	cluster_11
GLIS3	MA0737.1	cluster_11
Gmeb1	MA0615.1	cluster_92
GMEB2	MA0862.1	cluster_18
GRHL1	MA0647.1	cluster_51
GRHL2	MA1105.2	cluster_51
GSC	MA0648.1	cluster_28
GSC2	MA0891.1	cluster_28
GSX1	MA0892.1	cluster_3
GSX2	MA0893.2	cluster_3
Hand1::Tcf3	MA0092.1	cluster_73
HAND2	MA1638.1	cluster_8
HES1	MA1099.2	cluster_7
HES2	MA0616.2	cluster_7
HES5	MA0821.1	cluster_7
HES6	MA1493.1	cluster_7
HES7	MA0822.1	cluster_7
HESX1	MA0894.1	cluster_3
HEY1	MA0823.1	cluster_7
HEY2	MA0649.1	cluster_7
Hic1	MA0739.1	cluster_44
HIC2	MA0738.1	cluster_44
HIF1A	MA1106.1	cluster_7
HINFP	MA0131.2	cluster_76
HLF	MA0043.3	cluster_5
HLTF	MA0109.1	cluster_48
HMBOX1	MA0895.1	cluster_3
Hmx1	MA0896.1	cluster_21
